odime, MAMAMeasurement, OSISInternalSetpoint, OCOCOControllerOutput
000:49:29.00,49.4293,50,44.1296
000:49:29.00,49.4288,50,44.1273
000:49:30.00,49.4284,50,44.1258
000:49:30.00,49.4279,50,44.1236
000:49:31.00,49.4275,50,44.122
000:49:31.00,49.4271,50,44.1198
000:49:32.00,49.4267,50,44.1183
000:49:32.00,49.4263,50,44.1161
000:49:33.00,49.426,50,44.1146
000:49:33.00,49.4255,50,44.1125
000:49:34.00,49.4252,50,44.111
000:49:34.00,49.4248,50,44.1088
000:49:35.00,49.4245,50,44.1074
000:49:35.00,49.4241,50,44.1052
000:49:36.00,49.4238,50,44.1038
000:49:36.00,49.4235,50,44.1017
000:49:37.00,49.4232,50,44.1003
000:49:37.00,49.4228,50,44.0982
000:49:38.00,49.4226,50,44.0968
000:49:38.00,49.4223,50,44.0947
000:49:39.00,49.422,50,44.0933
000:49:39.00,49.4217,50,44.0913
000:49:40.00,49.4215,50,44.0899
000:49:40.00,49.4212,50,44.0879
000:49:41.00,49.421,50,44.0865
000:49:41.00,49.4207,50,44.0845
000:49:42.00,49.4205,50,44.0832
000:49:42.00,49.4202,50,44.0812
000:49:43.00,49.4201,50,44.0799
000:49:43.00,49.4198,50,44.0779
000:49:44.00,49.4197,50,44.0766
000:49:44.00,49.4194,50,44.0747
000:49:45.00,49.4193,50,44.0734
000:49:45.00,49.4191,50,44.0714
000:49:46.00,49.419,50,44.0702
000:49:46.00,49.4188,50,44.0683
000:49:47.00,49.4186,50,44.067
000:49:47.00,49.4185,50,44.0651
000:49:48.00,49.4184,50,44.0639
000:49:48.00,49.4182,50,44.062
000:49:49.00,49.4181,50,44.0608
000:49:49.00,49.418,50,44.059
000:49:50.00,49.4179,50,44.0578
000:49:50.00,49.4178,55,38.0512
000:49:51.00,49.4178,55,38.0404
000:49:51.00,49.4181,55,38.0248
000:49:52.00,49.4191,55,38.0152
000:49:52.00,49.4214,55,38.0019
000:49:53.00,49.4246,55,37.995
000:49:53.00,49.4302,55,37.9857
000:49:54.00,49.4362,55,37.9821
000:49:54.00,49.4457,55,37.9775
000:49:55.00,49.4546,55,37.9776
000:49:55.00,49.468,55,37.9777
000:49:56.00,49.4797,55,37.9811
000:49:56.00,49.4965,55,37.9855
000:49:57.00,49.5106,55,37.9918
000:49:57.00,49.5304,55,37.9998
000:49:58.00,49.5464,55,38.0085
000:49:58.00,49.5685,55,38.0195
000:49:59.00,49.5861,55,38.0301
000:49:59.00,49.6101,55,38.0434
000:50:00.00,49.6288,55,38.0555
000:50:00.00,49.6542,55,38.0706
000:50:01.00,49.6738,55,38.0838
000:50:01.00,49.7002,55,38.1003
000:50:02.00,49.7204,55,38.1144
000:50:02.00,49.7476,55,38.1319
000:50:03.00,49.7683,55,38.1466
000:50:03.00,49.796,55,38.1648
000:50:04.00,49.8169,55,38.18
000:50:04.00,49.845,55,38.1988
000:50:05.00,49.8661,55,38.2143
000:50:05.00,49.8944,55,38.2335
000:50:06.00,49.9157,55,38.2492
000:50:06.00,49.9441,55,38.2687
000:50:07.00,49.9654,55,38.2846
000:50:07.00,49.9938,55,38.3043
000:50:08.00,50.0152,55,38.3203
000:50:08.00,50.0436,55,38.3402
000:50:09.00,50.0649,55,38.3563
000:50:09.00,50.0933,55,38.3762
000:50:10.00,50.1146,55,38.3923
000:50:10.00,50.143,55,38.4124
000:50:11.00,50.1642,55,38.4285
000:50:11.00,50.1925,55,38.4486
000:50:12.00,50.2136,55,38.4647
000:50:12.00,50.2418,55,38.4848
000:50:13.00,50.2628,55,38.501
000:50:13.00,50.2909,55,38.5211
000:50:14.00,50.3119,55,38.5372
000:50:14.00,50.3398,55,38.5573
000:50:15.00,50.3607,55,38.5734
000:50:15.00,50.3885,55,38.5935
000:50:16.00,50.4092,55,38.6096
000:50:16.00,50.4369,55,38.6296
000:50:17.00,50.4576,55,38.6456
000:50:17.00,50.4851,55,38.6656
000:50:18.00,50.5056,55,38.6817
000:50:18.00,50.533,55,38.7016
000:50:19.00,50.5534,55,38.7176
000:50:19.00,50.5806,55,38.7375
000:50:20.00,50.6009,55,38.7534
000:50:20.00,50.628,55,38.7733
000:50:21.00,50.6482,55,38.7891
000:50:21.00,50.6751,55,38.8089
000:50:22.00,50.6952,55,38.8248
000:50:22.00,50.7219,55,38.8445
000:50:23.00,50.7419,55,38.8603
000:50:23.00,50.7685,55,38.88
000:50:24.00,50.7883,55,38.8957
000:50:24.00,50.8148,55,38.9153
000:50:25.00,50.8345,55,38.931
000:50:25.00,50.8607,55,38.9505
000:50:26.00,50.8803,55,38.9661
000:50:26.00,50.9064,55,38.9857
000:50:27.00,50.9259,55,39.0012
000:50:27.00,50.9519,55,39.0206
000:50:28.00,50.9712,55,39.0361
000:50:28.00,50.997,55,39.0555
000:50:29.00,51.0162,55,39.0709
000:50:29.00,51.0419,55,39.0903
000:50:30.00,51.061,55,39.1056
000:50:30.00,51.0864,55,39.1249
000:50:31.00,51.1054,55,39.1402
000:50:31.00,51.1307,55,39.1594
000:50:32.00,51.1496,55,39.1746
000:50:32.00,51.1747,55,39.1937
000:50:33.00,51.1935,55,39.2089
000:50:33.00,51.2185,55,39.228
000:50:34.00,51.2371,55,39.2431
000:50:34.00,51.2619,55,39.2621
000:50:35.00,51.2804,55,39.2772
000:50:35.00,51.3051,55,39.2961
000:50:36.00,51.3235,55,39.3111
000:50:36.00,51.348,55,39.33
000:50:37.00,51.3663,55,39.345
000:50:37.00,51.3906,55,39.3637
000:50:38.00,51.4088,55,39.3786
000:50:38.00,51.433,55,39.3974
000:50:39.00,51.451,55,39.4122
000:50:39.00,51.4751,55,39.4309
000:50:40.00,51.493,55,39.4456
000:50:40.00,51.5169,55,39.4642
000:50:41.00,51.5347,55,39.479
000:50:41.00,51.5584,55,39.4975
000:50:42.00,51.5761,55,39.5121
000:50:42.00,51.5997,55,39.5306
000:50:43.00,51.6173,55,39.5452
000:50:43.00,51.6407,55,39.5636
000:50:44.00,51.6581,55,39.5781
000:50:44.00,51.6814,55,39.5965
000:50:45.00,51.6988,55,39.6109
000:50:45.00,51.7219,55,39.6292
000:50:46.00,51.7391,55,39.6436
000:50:46.00,51.7621,55,39.6618
000:50:47.00,51.7792,55,39.6762
000:50:47.00,51.802,55,39.6943
000:50:48.00,51.819,55,39.7086
000:50:48.00,51.8416,55,39.7267
000:50:49.00,51.8585,55,39.7409
000:50:49.00,51.881,55,39.7589
000:50:50.00,51.8978,55,39.7731
000:50:50.00,51.9202,55,39.791
000:50:51.00,51.9368,55,39.8051
000:50:51.00,51.959,55,39.823
000:50:52.00,51.9756,55,39.837
000:50:52.00,51.9976,55,39.8548
000:50:53.00,52.0141,55,39.8688
000:50:53.00,52.036,55,39.8865
000:50:54.00,52.0523,55,39.9005
000:50:54.00,52.0741,55,39.9181
000:50:55.00,52.0903,55,39.932
000:50:55.00,52.1119,55,39.9496
000:50:56.00,52.128,55,39.9634
000:50:56.00,52.1495,55,39.9809
000:50:57.00,52.1655,55,39.9947
000:50:57.00,52.1868,55,40.0121
000:50:58.00,52.2027,55,40.0258
000:50:58.00,52.2238,55,40.0432
000:50:59.00,52.2396,55,40.0568
000:50:59.00,52.2606,55,40.0741
000:51:00.00,52.2763,55,40.0877
000:51:00.00,52.2971,55,40.1049
000:51:01.00,52.3127,55,40.1184
